"filename", "language", "SQL", "JavaScript", "JSON", "Properties", "JSON with Comments", "XML", "HTML", "Markdown", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\cup-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\iconProfile.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\iconrandom2.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\no-view.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\settings.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\userPhoto.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\view.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 3, 23
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\ExploreCoursePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 7, 68
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\ExplorePage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 10, 55
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\ExplorePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 8, 123
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\MainPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 21, 120
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 5, 142
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\PracticePage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 6, 40
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\PracticePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 7, 125
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\PracticeTrainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 6, 75
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\UserPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 4, 15, 137
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\UserPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 9, 153
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\setupTests.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 6
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\practics_achivements.sql", "SQL", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\practics_for_courses.sql", "SQL", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\users.sql", "SQL", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"Total", "-", 130, 364, 33119, 5, 27, 78, 20, 26, 14, 979, 591, 298, 277, 35928
